Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
OPK,1030.69785,1018.7380426363636,755.09,1.1603601738022884,COERENTE,US,Health Care,1.73,0.98,10-Q,Opko Health Inc.,PASSA_FASE0,,0,1.365,3418444.355237809,2.6934533293412266,1.2705043002646044,51.92710369864773,3.194103194103226,3.756772078657912,129.84420222885424
SIGA,239.54479999999998,239.55845600000004,71.72,0.005700812541142852,COERENTE,US,Pharmaceuticals,9.62,3.01,10-Q,SIGA Technologies Inc.,PASSA_FASE0,,0,3.34,617230.4793127779,1.6399949219261512,1.324818934709924,39.5040525501217,-4.174436953091398,3.918453342015756,56.81456482191276
HCTI,3.1668,3.163341202453988,2.03,0.10922058690197023,COERENTE,US,Health Care,1225.2,1.4634,10-Q,"Healthcare Triangle, Inc. Common Stock",PASSA_FASE0,,0,1.56,206814.25310009523,3.121969193063815,0.6233079393254383,35.03182980097809,-12.359550561797771,1.8886845628494184,83.19258160891484
AVIR,369.7386,369.72521941463424,80.03,0.0036189311491408027,COERENTE,US,Pharmaceuticals,6.45,2.78,10-Q,"Atea Pharmaceuticals, Inc. Common Stock",PASSA_FASE0,,0,4.62,347445.88820928574,2.136508961869939,1.015715990175498,46.70802687309016,-3.739972913845213,1.8759199857445683,45.030314557242846
DTI,80.4706,80.46852785398231,35.14,0.0025750348794373323,COERENTE,US,Energy,4.69,1.65,10-Q,Drilling Tools International Corporation Common Stock,PASSA_FASE0,,0,2.29,291694.8828741746,1.5299085776300756,0.84258784083682,50.30157615169857,3.2927379341452623,1.596061641949895,36.09318412119373
FIP,446.6448,446.6582152941176,118.16,0.003003571096682478,COERENTE,US,Road & Rail,7.935,3.74,10-Q,FTAI Infrastructure Inc. Common Stock,PASSA_FASE0,,0,3.78,1082563.703015746,1.4018450618419878,0.8121211168623601,32.935058095817666,-12.48987151290658,1.0,43.005987335060645
ALT,567.8524,567.864524347826,194.47,0.0021351231105137813,COERENTE,US,Biotechnology,6.44,2.56,10-Q,"Altimmune, Inc. Common Stock",PASSA_FASE0,,0,2.92,3905036.370090937,2.1258087287037704,1.0358451135206466,50.149384558859246,-1.4013169002194847,2.0650368270141626,40.51312854276794
WHWK,196.8348,224.28,53.78,13.943266129769727,DIVERGENTE,US,Biotechnology,5.495,1.57,10-Q,"Whitehawk Therapeutics, Inc. Common Stock",PASSA_FASE0,,0,3.66,488026.9920216985,1.472331370880512,1.03849630388193,38.321145806271296,-6.153846153846143,1.4494230708456597,43.04621418071249
UPB,348.8322,348.8320958375,54.42,2.9860345462928706e-05,COERENTE,US,Biotechnology,33.68,5.85,10-Q,"Upstream Bio, Inc. Common Stock",PASSA_FASE0,,0,6.41,573272.1444258412,1.2259065386891683,0.8389617580996322,35.2957711339178,-9.635581870726728,1.15179019801011,45.099570924239
BHC,1747.8863999999999,2390.244176,373.48,36.75054488667,DIVERGENTE,CA,Pharmaceuticals,11.97,6.1,10-Q,Bausch Health Companies Inc,PASSA_FASE0,,0,4.68,2269915.431687063,1.6089314673016832,0.8658959922300183,46.61515887971457,-0.9628610729023324,1.0,33.886678622285984
