Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
EPM,False,True,False,True,False,False,False,True,True,False,2
SLDP,False,False,False,True,False,False,False,False,False,True,1
TGB,False,False,False,True,False,False,False,True,True,False,1
SMJF,False,True,True,True,False,True,True,False,True,True,3
SIDU,False,False,False,True,False,False,False,False,False,True,1
ALLO,True,True,False,True,False,False,False,True,False,False,2
BORR,False,False,False,True,False,False,False,False,False,True,1
OCCI,False,True,True,False,True,True,False,False,False,False,2
OPEN,False,True,False,True,False,False,False,True,False,False,2
CRMT,False,True,False,True,False,False,False,False,True,True,2
NEWP,False,False,False,True,False,False,False,False,True,False,1
PAL,False,False,False,True,False,False,False,False,True,True,1
NMFC,False,False,True,True,True,False,False,True,False,False,2
HUBC,False,False,False,True,False,False,False,False,False,True,1
ECX,False,False,False,True,False,False,False,True,False,True,1
MIST,False,True,False,False,False,False,False,False,False,False,1
KOPN,False,False,False,False,False,False,False,False,False,False,0
DTCX,False,False,False,True,False,False,False,True,True,False,1
SBC,False,False,True,True,False,True,False,True,False,False,2
TDUP,False,False,False,True,False,False,False,False,True,True,1
UROY,True,True,True,False,False,False,True,False,False,False,2
TII,False,False,False,False,False,False,False,False,False,False,0
MRLN,False,False,False,False,False,False,False,False,False,False,0
ACCL,False,True,False,True,False,False,False,False,True,True,2
OSTX,False,True,False,True,False,False,False,True,True,False,2
THM,False,True,False,True,False,False,False,True,False,False,2
IPSC,False,False,False,True,False,False,False,True,False,True,1
FLYX,False,True,True,False,False,True,False,False,False,False,2
CPHI,False,True,False,True,False,False,False,False,True,False,2
XRX,False,False,True,True,False,True,False,True,False,True,2
WRN,False,False,False,True,False,False,False,True,False,True,1
PMVP,False,True,False,True,False,False,False,True,False,False,2
ZNB,False,True,False,False,False,False,False,False,False,False,1
EHGO,False,True,True,True,False,True,False,False,True,False,3
LAES,False,True,False,True,False,False,False,False,False,True,2
GRWG,False,True,True,True,False,True,False,True,True,True,3
TLPH,False,True,False,True,False,False,False,False,True,False,2
XOS,False,False,False,True,False,False,False,False,False,True,1
MAMO,False,True,True,True,False,True,False,True,True,False,3
SG,False,True,False,False,False,False,False,False,False,False,1
NEXT,False,True,False,True,False,False,False,True,False,False,2
PNNT,False,False,False,True,False,False,False,True,False,True,1
HOLO,False,False,False,True,False,False,False,True,True,True,1
BOOM,True,True,False,True,False,False,False,True,False,False,2
DOUG,False,True,False,True,False,False,False,True,True,False,2
LFVN,False,False,False,True,False,False,False,False,True,True,1
IBIO,False,True,True,True,True,True,False,True,False,True,3
SPRY,False,True,False,True,False,False,False,False,False,True,2
KDK,False,False,False,True,False,False,False,False,False,True,1
GOGO,False,True,False,True,False,False,False,True,True,False,2
AIRE,False,True,True,False,False,True,False,False,False,False,2
GLND,False,False,False,False,False,False,False,False,False,False,0
MTEK,False,False,False,True,False,False,False,True,True,True,1
RES,False,True,False,True,False,False,False,True,False,True,2
SBFM,False,False,False,True,False,False,False,False,False,True,1
DBI,False,False,True,True,False,False,True,False,True,True,2
CXM,False,False,True,True,False,True,False,True,True,False,2
BTBT,False,False,False,True,False,False,False,False,False,True,1
CION,False,False,False,True,False,False,False,True,False,False,1
TMC,False,False,False,True,False,False,False,False,False,True,1
CHRS,False,False,False,True,False,False,False,True,True,True,1
BTE,False,False,False,True,False,False,False,True,True,False,1
AMIX,True,True,True,False,True,False,True,False,False,False,2
ERNA,False,True,False,True,False,False,False,False,False,True,2
MSS,False,True,False,False,False,False,False,False,False,False,1
DSX,False,False,False,True,False,False,False,True,True,True,1
EPSN,False,False,False,True,False,False,False,True,True,False,1
YEXT,False,False,True,True,False,True,False,False,True,False,2
IOVA,False,True,False,True,False,False,False,False,True,False,2
ABCL,False,False,False,True,False,False,False,False,True,True,1
ARQ,False,False,False,True,False,False,False,True,False,True,1
GEMI,False,False,False,True,False,False,False,True,True,False,1
RZLT,False,False,False,False,False,False,False,False,False,False,0
SRTA,False,False,False,True,False,False,False,True,False,True,1
CURI,False,False,False,True,False,False,False,True,False,True,1
AQST,True,True,False,True,False,False,False,True,False,True,2
FCUV,False,False,False,True,False,False,False,False,False,True,1
ELTX,False,True,False,True,False,False,False,False,True,True,2
VWAV,False,True,False,False,False,False,False,False,False,False,1
ENVX,False,True,False,False,False,False,False,False,False,False,1
EARN,False,False,False,True,False,False,False,True,True,True,1
CMND,False,True,False,True,False,False,False,False,False,True,2
RMNI,False,False,True,True,False,True,False,True,True,False,2
STLA,True,True,True,True,True,False,False,True,True,True,3
LFMD,False,True,False,True,False,False,False,True,False,False,2
INDI,False,False,False,True,False,False,False,False,False,True,1
CCO,True,True,False,True,False,False,False,True,True,False,2
FBIO,False,True,False,True,False,False,False,False,True,False,2
RCKT,False,False,False,True,False,False,False,False,True,False,1
AEYE,False,True,False,True,False,False,False,True,True,False,2
OPRT,False,True,False,True,False,False,False,True,True,False,2
CETX,False,True,False,True,False,False,False,False,True,True,2
DPRO,False,False,False,True,False,False,False,False,False,True,1
MBOT,False,False,False,True,False,False,False,True,False,True,1
KUST,False,True,False,True,False,False,False,False,True,False,2
RDZN,False,False,True,True,False,True,False,False,False,True,2
BNC,False,False,False,True,False,False,False,False,True,True,1
BNZI,False,True,False,True,False,False,False,False,False,True,2
UA,False,False,False,True,False,False,False,True,True,True,1
PTLO,False,True,True,True,False,True,False,True,True,True,3
TRUG,False,True,False,True,False,False,False,False,False,True,2
NUVB,False,False,False,True,False,False,False,True,True,True,1
RPID,False,True,False,True,False,False,False,True,True,False,2
AISP,False,True,False,True,False,False,False,False,False,True,2
KMRK,False,False,False,True,False,False,False,False,True,True,1
RSKD,False,True,True,True,False,True,True,True,True,False,3
OCG,False,True,True,True,False,True,True,False,False,True,3
DERM,False,True,False,True,False,False,False,True,True,True,2
AXG,False,True,False,True,False,False,False,True,False,False,2
IHRT,False,False,False,True,False,False,False,False,False,True,1
IMNN,False,True,False,False,False,False,False,False,False,False,1
HSDT,False,False,False,True,False,False,False,False,True,True,1
TOMZ,False,False,False,False,False,False,False,False,False,False,0
GSIT,False,False,True,True,False,True,False,False,False,True,2
AMPY,False,False,False,False,False,False,False,False,False,False,0
TIGR,False,False,False,True,False,False,False,True,True,True,1
UIS,False,False,False,True,False,False,False,False,False,True,1
JRSH,False,False,False,True,False,False,False,True,True,False,1
COTY,False,False,False,True,False,False,False,True,True,True,1
BLDP,False,False,True,True,False,True,False,False,False,True,2
ACHR,False,True,False,True,False,False,False,True,False,False,2
CRVO,False,False,False,True,False,False,False,False,False,True,1
UAMY,False,False,False,False,False,False,False,False,False,False,0
HYFT,False,True,False,False,False,False,False,False,False,False,1
WSHP,False,False,False,True,False,False,False,False,False,True,1
PMAX,False,True,False,True,False,False,False,False,False,True,2
RFL,False,True,False,False,False,False,False,False,False,False,1
ACRE,False,False,False,True,False,False,False,True,True,False,1
LIDR,False,True,False,True,False,False,False,False,False,True,2
ABEO,True,True,False,True,False,False,False,True,True,False,2
HURA,False,False,False,True,False,False,False,True,False,True,1
TRNR,False,True,True,True,True,False,False,False,True,False,3
VNDA,False,False,False,True,False,False,False,True,False,True,1
PRTH,False,False,False,True,False,False,False,True,False,False,1
SEV,False,True,False,False,False,False,False,False,False,False,1
IMPP,False,False,False,True,False,False,False,True,False,True,1
NXTC,False,True,False,True,False,False,False,False,True,False,2
KLC,False,False,False,True,False,False,False,True,True,True,1
PLBY,False,False,False,True,False,False,False,False,True,True,1
TUSK,False,False,False,True,False,False,False,False,False,True,1
WEAV,False,False,False,True,False,False,False,True,True,False,1
VENU,False,False,False,False,False,False,False,False,False,False,0
NABL,False,False,False,True,False,False,False,False,True,False,1
HIVE,False,False,False,True,False,False,False,False,False,True,1
XGN,False,False,False,True,False,False,False,False,True,True,1
POLA,False,True,True,True,False,True,False,True,False,False,3
HMR,False,False,True,True,False,True,False,False,False,True,2
IOTR,False,True,False,True,False,False,False,False,True,False,2
ALXO,False,False,False,True,False,False,False,False,True,False,1
ALVO,True,True,True,True,False,True,True,True,False,True,3
MXCT,False,False,False,False,False,False,False,False,False,False,0
ATOM,False,False,False,True,False,False,False,False,False,True,1
NERV,False,False,False,True,False,False,False,True,True,True,1
MYGN,False,True,False,True,False,False,False,False,True,True,2
HLP,False,True,False,True,False,False,False,False,True,True,2
ACTG,False,True,False,True,False,False,False,True,True,True,2
REPL,False,True,False,False,False,False,False,False,False,False,1
ABTS,False,False,False,True,False,False,False,False,False,True,1
NPT,False,False,True,True,False,True,False,False,True,True,2
PLCE,False,True,False,True,False,False,False,False,False,True,2
VYGR,False,True,False,True,False,False,False,True,False,False,2
PALI,False,False,True,True,False,True,False,True,True,True,2
TAOX,False,False,False,False,False,False,False,False,False,False,0
ASBP,False,False,False,True,False,False,False,False,True,True,1
ABVC,False,True,False,False,False,False,False,False,False,False,1
FRMI,False,True,False,False,False,False,False,False,False,False,1
CMRC,False,True,True,True,False,True,True,True,False,True,3
SENS,False,False,True,True,False,True,False,True,False,True,2
ABTC,False,True,False,False,False,False,False,False,False,False,1
BIYA,False,True,True,False,False,True,True,False,False,False,2
PROK,False,False,False,True,False,False,False,True,False,False,1
OWLT,False,False,False,True,False,False,False,True,True,True,1
IBRX,False,False,False,True,False,False,False,True,True,False,1
HCAT,False,False,False,True,False,False,False,False,True,True,1
ASTI,False,False,True,True,False,True,False,False,False,True,2
PTON,False,False,True,True,False,True,False,True,True,True,2
OCGN,False,False,False,True,False,False,False,True,True,True,1
CLAR,False,False,False,True,False,False,False,True,True,True,1
PLTK,False,True,False,True,False,False,False,True,True,False,2
PEPG,False,True,False,True,False,False,False,False,True,False,2
INO,False,True,True,True,True,False,False,True,False,False,3
SKYX,False,False,False,True,False,False,False,True,True,False,1
FNKO,False,True,False,True,False,False,False,True,True,True,2
MIND,False,False,False,True,False,False,False,True,True,False,1
ELME,False,True,False,True,False,False,False,False,True,True,2
KOS,False,True,False,True,False,False,False,False,True,False,2
SRG,False,True,True,True,True,False,False,True,False,True,3
PSIG,False,False,False,True,False,False,False,False,True,True,1
DTIL,False,True,False,True,False,False,False,True,True,False,2
EMPD,False,True,False,False,False,False,False,False,False,False,1
IMDX,False,False,False,True,False,False,False,True,False,True,1
